cluster,x.unit,tag_model,tag_serial_number,tag_sensor_type,tag_life,tagger,common_name,total_length_m,life_stage,sex,release_location,project,total_detections,days_at_liberty,days_monitored,days_detected,residency_max,residency_min,residency_ratio,residency_category,consecutive_days,highest_detection_month,artificial_reefs,n_reefs
1,teleost,V13AP-1x,139542,Acc&Press,365,BS,Striped Bass,0.63,NA,U,Shinnecock Canal,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V9-2X,151260,None,895,MF,Black Sea Bass,0.367,NA,U,Montauk,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V9-2X,151261,None,895,AN,Summer Flounder,0.56,NA,U,Great South Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1x,1365463,Acc&Press,365,KD,Summer Flounder,0.387,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
2,teleost,V9-2x,1367669,None,895,BS,Tautog,0.381,Mature,U,Shinnecock Reef,NYSDEC,210030,351,679,349,0.994301994,0.513991163,0.516936672,Resident,194,10,Shinnecock,1
2,teleost,V9-2x,1367693,None,895,LI,Black Sea Bass,0.39,Mature,U,Shinnecock Reef,NYSDEC,2453,5,488,5,1,0.010245902,0.010245902,Transient,5,6,Shinnecock,1
2,teleost,V9-2x,1367695,None,895,BS,Tautog,0.321,Mature,U,Shinnecock Reef,NYSDEC,158931,689,679,271,0.393323657,0.399116348,1.014727541,Intermittent Resident,43,1,Shinnecock,1
2,teleost,V9-2x,1367697,None,895,BS,Tautog,0.353,Mature,U,Shinnecock Reef,NYSDEC,198229,699,679,589,0.842632332,0.867452135,1.029455081,Resident,146,11,Shinnecock,1
2,teleost,V9-2x,1367698,None,895,BS,Black Sea Bass,0.56,Mature,U,Shinnecock Reef,NYSDEC,43849,61,488,61,1,0.125,0.125,Transient,61,7,Shinnecock,1
1,teleost,V9-2x,1367700,None,895,BS,Black Sea Bass,0.62,Mature,U,Shinnecock Mile Bouy,NYSDEC,0,0,0,0,0,0,0,None,0,0,NA,0
2,teleost,V9-2x,1367701,None,895,AS,Black Sea Bass,0.267,Mature,U,Shinnecock Reef,NYSDEC,12174,16,710,16,1,0.022535211,0.022535211,Transient,16,11,"Shinnecock,Fire Island",2
2,teleost,V9-2x,1367702,None,895,GM,Black Sea Bass,0.302,Mature,U,Shinnecock Reef,NYSDEC,3031,228,710,15,0.065789474,0.021126761,0.321126761,Transient,14,6,"Moriches,Shinnecock",2
2,teleost,V9-2x,1367703,None,895,BS,Tautog,0.25,Mature,U,Shinnecock Reef,NYSDEC,558001,712,679,580,0.814606742,0.854197349,1.048600884,Resident,185,5,Shinnecock,1
2,teleost,V9-2x,1367704,None,895,BS,Tautog,0.244,Mature,U,Shinnecock Reef,NYSDEC,67298,330,679,169,0.512121212,0.248895434,0.486008837,Transient,33,10,Shinnecock,1
2,teleost,V9-2x,1367705,None,895,BS,Tautog,0.369,Mature,U,Shinnecock Reef,NYSDEC,62036,499,679,210,0.420841683,0.309278351,0.734904271,Intermittent Resident,101,4,Shinnecock,1
2,teleost,V9-2x,1367706,None,895,BS,Black Sea Bass,0.354,Mature,U,Shinnecock Reef,NYSDEC,48428,372,488,198,0.532258065,0.405737705,0.762295082,Intermittent Resident,104,11,Shinnecock,1
2,teleost,V9-2x,1367707,None,895,LI,Black Sea Bass,0.38,Mature,U,Shinnecock Reef,NYSDEC,234674,390,488,151,0.387179487,0.30942623,0.799180328,Intermittent Resident,92,6,Shinnecock,1
2,teleost,V9-2x,1367708,None,895,BS,Tautog,0.372,Mature,U,Shinnecock Reef,NYSDEC,183801,399,710,370,0.927318296,0.521126761,0.561971831,Resident,224,11,Shinnecock,1
2,teleost,V9-2x,1367709,None,895,BS,Tautog,0.41,Mature,U,Shinnecock Reef,NYSDEC,32026,133,679,130,0.977443609,0.191458027,0.195876289,Transient,72,12,Shinnecock,1
2,teleost,V9-2x,1367710,None,895,BS,Tautog,0.33,Mature,U,Shinnecock Reef,NYSDEC,28581,165,679,137,0.83030303,0.201767305,0.243004418,Transient,29,4,Shinnecock,1
2,teleost,V9-2x,1367711,None,895,BS,Tautog,0.25,Mature,U,Shinnecock Reef,NYSDEC,10293,519,679,83,0.159922929,0.122238586,0.764359352,Intermittent Resident,13,4,Shinnecock,1
2,teleost,V9-2x,1367712,None,895,LI,Black Sea Bass,0.412,Mature,U,Shinnecock Reef,NYSDEC,65125,103,488,103,1,0.211065574,0.211065574,Transient,103,7,Shinnecock,1
2,teleost,V9-2x,1367713,None,895,JQ,Black Sea Bass,0.335,Mature,U,Shinnecock Reef,NYSDEC,1465,12,488,12,1,0.024590164,0.024590164,Transient,12,6,Shinnecock,1
2,teleost,V9-2x,1367715,None,895,GM,Tautog,0.4,Mature,U,Shinnecock Reef,NYSDEC,255329,550,710,434,0.789090909,0.611267606,0.774647887,Resident,73,11,"Fire Island,Shinnecock",2
2,teleost,V9-2x,1367716,None,895,BS,Tautog,0.34,Mature,U,Shinnecock Reef,NYSDEC,39747,161,679,71,0.440993789,0.104565538,0.237113402,Transient,31,12,Shinnecock,1
2,teleost,V9-2x,1367717,None,895,JQ,Black Sea Bass,0.385,Mature,U,Shinnecock Reef,NYSDEC,38729,92,488,87,0.945652174,0.178278689,0.18852459,Transient,86,8,"Shinnecock,Twelve Mile",2
2,teleost,V9-2x,1367718,None,895,BS,Tautog,0.341,Mature,U,Shinnecock Reef,NYSDEC,75023,520,679,179,0.344230769,0.263622975,0.765832106,Intermittent Resident,152,4,"Shinnecock,Moriches",2
2,teleost,V9-2x,1367719,None,895,BS,Tautog,0.33,Mature,U,Shinnecock Reef,NYSDEC,43268,147,679,144,0.979591837,0.212076583,0.216494845,Transient,79,12,Shinnecock,1
2,teleost,V9-2x,1367720,None,895,JQ,Black Sea Bass,0.345,Mature,U,Shinnecock Reef,NYSDEC,69146,106,488,106,1,0.217213115,0.217213115,Transient,106,8,Shinnecock,1
2,teleost,V9-2x,1367721,None,895,BS,Black Sea Bass,0.39,Mature,U,Shinnecock Reef,NYSDEC,54857,82,488,82,1,0.168032787,0.168032787,Transient,82,8,Shinnecock,1
1,teleost,V9-2x,1367722,None,895,BS,Tautog,0.351,Mature,U,Shinnecock Reef,NYSDEC,0,0,0,0,0,0,0,None,0,0,NA,0
2,teleost,V9-2x,1367723,None,895,BS,Tautog,0.375,Mature,U,Shinnecock Reef,NYSDEC,112621,320,679,298,0.93125,0.438880707,0.471281296,Transient,147,6,Shinnecock,1
2,teleost,V9-2x,1367724,None,895,BS,Tautog,0.396,Mature,U,Shinnecock Reef,NYSDEC,354983,579,679,559,0.965457686,0.823269514,0.852724595,Resident,250,5,Shinnecock,1
2,teleost,V9-2x,1367725,None,895,BS,Black Sea Bass,0.375,Mature,U,Shinnecock Mile Bouy,NYSDEC,100,2,821,2,1,0.002436054,0.002436054,Transient,2,8,Shinnecock,1
2,teleost,V9-2x,1367726,None,895,LI,Black Sea Bass,0.345,Mature,U,Shinnecock Reef,NYSDEC,23697,67,488,67,1,0.137295082,0.137295082,Transient,67,7,Shinnecock,1
2,teleost,V9-2x,1367727,None,895,JQ,Black Sea Bass,0.355,Mature,U,Shinnecock Reef,NYSDEC,227009,459,488,232,0.505446623,0.475409836,0.94057377,Intermittent Resident,120,7,Shinnecock,1
2,teleost,V9-2x,1367728,None,895,BS,Black Sea Bass,0.39,Mature,U,Shinnecock Mile Bouy,NYSDEC,52729,375,821,115,0.306666667,0.140073082,0.456760049,Transient,51,8,"Shinnecock,Twelve Mile",2
2,teleost,V9-2x,1367729,None,895,BS,Black Sea Bass,0.34,Mature,U,Shinnecock Mile Bouy,NYSDEC,328754,840,821,778,0.926190476,0.947624848,1.023142509,Resident,345,1,Shinnecock,1
2,teleost,V9-2x,1367730,None,895,BS,Tautog,0.36,Mature,U,Shinnecock Reef,NYSDEC,373195,712,679,601,0.844101124,0.885125184,1.048600884,Resident,401,12,Shinnecock,1
2,teleost,V9-2x,1367731,None,895,BS,Tautog,0.375,Mature,U,Shinnecock Reef,NYSDEC,7196,46,679,43,0.934782609,0.063328424,0.067746686,Transient,33,12,Shinnecock,1
2,teleost,V9-2x,1367732,None,895,BS,Black Sea Bass,0.375,Mature,M,Shinnecock Reef,NYSDEC,265293,420,488,152,0.361904762,0.31147541,0.860655738,Intermittent Resident,86,6,Shinnecock,1
2,teleost,V9-2x,1367733,None,895,BS,Black Sea Bass,0.38,Mature,U,Shinnecock Mile Bouy,NYSDEC,9675,247,821,23,0.093117409,0.028014616,0.300852619,Transient,21,8,Shinnecock,1
2,teleost,V13AP-1x,1395264,Acc&Press,365,MF,Striped Bass,0.648,NA,U,NA,Southfork,202,4,711,4,1,0.005625879,0.005625879,Transient,4,11,Kismet,1
1,teleost,V13AP-1x,1395265,Acc&Press,365,MF,Striped Bass,0.595,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
2,teleost,V13AP-1x,1395266,Acc&Press,365,MF,Striped Bass,0.614,NA,U,NA,Southfork,27,378,711,2,0.005291005,0.00281294,0.53164557,Intermittent Resident,1,11,"Kismet,Yellowbar",2
2,teleost,V13AP-1x,1395268,Acc&Press,365,MF,Striped Bass,0.714,NA,U,NA,Southfork,7,1,711,1,1,0.00140647,0.00140647,Transient,1,10,Rockaway,1
2,teleost,V13AP-1x,1395269,Acc&Press,365,MF,Striped Bass,0.795,NA,U,NA,Southfork,4,25,711,2,0.08,0.00281294,0.035161744,Transient,1,11,Kismet,1
2,teleost,V13AP-1x,1395270,Acc&Press,365,MF,Striped Bass,0.789,NA,U,NA,Southfork,32,376,711,5,0.013297872,0.007032349,0.52883263,Intermittent Resident,1,11,"Kismet,Fire Island,Atlantic Beach",3
2,teleost,V13AP-1x,1395271,Acc&Press,365,MF,Striped Bass,0.643,NA,U,NA,Southfork,18,1,711,1,1,0.00140647,0.00140647,Transient,1,11,Kismet,1
1,teleost,V13AP-1x,1395273,Acc&Press,365,MF,Striped Bass,0.731,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1x,1395274,Acc&Press,365,MF,Striped Bass,0.654,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
2,teleost,V13AP-1x,1395275,Acc&Press,365,MF,Striped Bass,0.745,NA,U,NA,Southfork,182,8,711,6,0.75,0.008438819,0.011251758,Transient,3,11,"Kismet,Fire Island",2
2,teleost,V13AP-1x,1395276,Acc&Press,365,MF,Striped Bass,0.746,NA,U,NA,Southfork,58,24,711,3,0.125,0.004219409,0.033755274,Transient,1,12,"Kismet,Fire Island",2
2,teleost,V13AP-1x,1395277,Acc&Press,365,MF,Striped Bass,0.643,NA,U,NA,Southfork,6,1,711,1,1,0.00140647,0.00140647,Transient,1,11,Hempstead,1
2,teleost,V13AP-1x,1395278,Acc&Press,365,MF,Striped Bass,0.682,NA,U,NA,Southfork,99,5,711,2,0.4,0.00281294,0.007032349,Transient,1,11,Kismet,1
2,teleost,V13AP-1x,1395279,Acc&Press,365,MF,Striped Bass,0.7,NA,U,NA,Southfork,6,1,711,1,1,0.00140647,0.00140647,Transient,1,4,"Kismet,Yellowbar",2
2,teleost,V13AP-1x,1395280,Acc&Press,365,MF,Striped Bass,0.968,NA,U,NA,Southfork,249,372,711,6,0.016129032,0.008438819,0.523206751,Intermittent Resident,1,10,"Shinnecock,Moriches,Fire Island",3
2,teleost,V13AP-1x,1395281,Acc&Press,365,MF,Striped Bass,0.617,NA,U,NA,Southfork,65,3,711,3,1,0.004219409,0.004219409,Transient,3,11,Kismet,1
